"Area","BNF_Section","BNF_Section_Code","BNF_Chapter","BNF_Chapter_Code","items","actual_cost","item_label"
"NHS Horsham And Mid Sussex CCG","Diuretics","0202","Cardiovascular System","02",90393,186422.08,"Diuretics
90,393"
"NHS Horsham And Mid Sussex CCG","Drugs Acting On The Ear","1201","Ear, Nose and Oropharynx","12",6752,33831.71,"Drugs Acting On The Ear
6,752"
"NHS Horsham And Mid Sussex CCG","Drugs Acting On The Nose","1202","Ear, Nose and Oropharynx","12",32367,192600.27,"Drugs Acting On The Nose
32,367"
"NHS Horsham And Mid Sussex CCG","Drugs Acting On The Oropharynx","1203","Ear, Nose and Oropharynx","12",2337,15088.18,"Drugs Acting On The Oropharynx
2,337"
"NHS Horsham And Mid Sussex CCG","Drugs Affecting Bone Metabolism","0606","Endocrine System","06",26352,241221.97,"Drugs Affecting Bone Metabolism
26,352"
"NHS Horsham And Mid Sussex CCG","Drugs Affecting Intestinal Secretions","0109","Gastro-Intestinal System","01",2332,133696.66,"Drugs Affecting Intestinal Secretions
2,332"
"NHS Horsham And Mid Sussex CCG","Drugs Affecting The Immune Response","0802","Malignant Disease and Immunosuppression","08",5159,116444.42,"Drugs Affecting The Immune Response
5,159"
"NHS Horsham And Mid Sussex CCG","Drugs For Genito-Urinary Disorders","0704","Obstetrics, Gynae and Urinary Tract Disorders","07",61978,925304.59,"Drugs For Genito-Urinary Disorders
61,978"
"NHS Horsham And Mid Sussex CCG","Drugs Used In Diabetes","0601","Endocrine System","06",138368,3307197.23,"Drugs Used In Diabetes
138,368"
"NHS Horsham And Mid Sussex CCG","Drugs Used In Nausea And Vertigo","0406","Central Nervous System","04",17366,157459.25,"Drugs Used In Nausea And Vertigo
17,366"
"NHS Horsham And Mid Sussex CCG","Drugs Used In Neuromuscular Disorders","1002","Musculoskeletal and Joint Diseases","10",4611,36486.75,"Drugs Used In Neuromuscular Disorders
4,611"
"NHS Horsham And Mid Sussex CCG","Drugs Used In Parkinsonism & Related Disorders","0409","Central Nervous System","04",18182,506662.72,"Drugs Used In Parkinsonism & Related Disorders
18,182"
"NHS Horsham And Mid Sussex CCG","Drugs Used In Psychoses & Related Disorders","0402","Central Nervous System","04",29057,408338.9,"Drugs Used In Psychoses & Related Disorders
29,057"
"NHS Horsham And Mid Sussex CCG","Drugs Used In Rheumatic Diseases & Gout","1001","Musculoskeletal and Joint Diseases","10",64710,342840.77,"Drugs Used In Rheumatic Diseases & Gout
64,710"
"NHS Horsham And Mid Sussex CCG","Drugs Used In Substance Dependence","0410","Central Nervous System","04",3588,101337.02,"Drugs Used In Substance Dependence
3,588"
"NHS Horsham And Mid Sussex CCG","Dry Mouth Products","2121","Appliances","21",1210,7740.16,"Dry Mouth Products
1,210"
"NHS Horsham And Mid Sussex CCG","Dyspepsia & Gastro-Oesophageal Reflux Disease","0101","Gastro-Intestinal System","01",12929,90202.06,"Dyspepsia & Gastro-Oesophageal Reflux Disease
12,929"
"NHS Horsham And Mid Sussex CCG","Elastic Hosiery","2107","Appliances","21",2045,33716.42,"Elastic Hosiery
2,045"
"NHS Horsham And Mid Sussex CCG","Emollient & Barrier Preparations","1302","Skin","13",31064,204839.25,"Emollient & Barrier Preparations
31,064"
"NHS Horsham And Mid Sussex CCG","Emollients","2122","Appliances","21",23492,116813.78,"Emollients
23,492"
"NHS Horsham And Mid Sussex CCG","Eye Products","2130","Appliances","21",16920,148091.58,"Eye Products
16,920"
"NHS Horsham And Mid Sussex CCG","Faecal Collectors","2215","Incontinence Appliances","22",2,54.92,"Faecal Collectors
2"
"NHS Horsham And Mid Sussex CCG","Filters/Bridges","2350","Stoma Appliances","23",13,428.92,"Filters/Bridges
13"
"NHS Horsham And Mid Sussex CCG","Fluids And Electrolytes","0902","Nutrition and Blood","09",2826,43489.15,"Fluids And Electrolytes
2,826"
"NHS Horsham And Mid Sussex CCG","Foods","0909","Nutrition and Blood","09",479,19174.06,"Foods
479"
"NHS Horsham And Mid Sussex CCG","Gauzes & Gauze Tissue","2004","Dressings","20",106,2429.11,"Gauzes & Gauze Tissue
106"
"NHS Horsham And Mid Sussex CCG","General Anaesthesia","1501","Anaesthesia","15",1468,15015.24,"General Anaesthesia
1,468"
"NHS Horsham And Mid Sussex CCG","Health Supplements","0911","Nutrition and Blood","09",211,8312.34,"Health Supplements
211"
"NHS Horsham And Mid Sussex CCG","Hernia Support Garments","2146","Appliances","21",3,135.57,"Hernia Support Garments
3"
"NHS Horsham And Mid Sussex CCG","Hypertension and Heart Failure","0205","Cardiovascular System","02",214021,672175.47,"Hypertension and Heart Failure
214,021"
"NHS Horsham And Mid Sussex CCG","Hypnotics And Anxiolytics","0401","Central Nervous System","04",51817,218357.93,"Hypnotics And Anxiolytics
51,817"
"NHS Horsham And Mid Sussex CCG","Hypothalamic & Pituitary Hormones & Anti-oestrogens","0605","Endocrine System","06",1483,214834.35,"Hypothalamic & Pituitary Hormones & Anti-oestrogens
1,483"
"NHS Horsham And Mid Sussex CCG","Ileostomy Bags","2360","Stoma Appliances","23",2496,339871.05,"Ileostomy Bags
2,496"
"NHS Horsham And Mid Sussex CCG","Incontinence Belts","2220","Incontinence Appliances","22",1,71.85,"Incontinence Belts
1"
"NHS Horsham And Mid Sussex CCG","Incontinence Sheath Fixing Strips & Adh","2240","Incontinence Appliances","22",41,615.91,"Incontinence Sheath Fixing Strips & Adh
41"
"NHS Horsham And Mid Sussex CCG","Incontinence Sheaths","2230","Incontinence Appliances","22",938,67275.74,"Incontinence Sheaths
938"
"NHS Horsham And Mid Sussex CCG","Indwelling Pleural Cath Drain System","2133","Appliances","21",51,8295.33,"Indwelling Pleural Cath Drain System
51"
"NHS Horsham And Mid Sussex CCG","Inhalation Solutions","2132","Appliances","21",159,4617.82,"Inhalation Solutions
159"
"NHS Horsham And Mid Sussex CCG","Insert For Female Stress Incont","2285","Incontinence Appliances","22",21,1046.74,"Insert For Female Stress Incont
21"
"NHS Horsham And Mid Sussex CCG","Irrigation Solutions","2116","Appliances","21",598,4251.48,"Irrigation Solutions
598"
"NHS Horsham And Mid Sussex CCG","Irrigation Washout Appliances","2370","Stoma Appliances","23",127,4438.22,"Irrigation Washout Appliances
127"
"NHS Horsham And Mid Sussex CCG","Jaw Rehabilitation Device","2142","Appliances","21",3,117.64,"Jaw Rehabilitation Device
3"
"NHS Horsham And Mid Sussex CCG","Laxatives","0106","Gastro-Intestinal System","01",64033,330233.19,"Laxatives
64,033"
"NHS Horsham And Mid Sussex CCG","Leg Bags","2250","Incontinence Appliances","22",2692,93782.19,"Leg Bags
2,692"
"NHS Horsham And Mid Sussex CCG","Lipid-Regulating Drugs","0212","Cardiovascular System","02",196013,644656.43,"Lipid-Regulating Drugs
196,013"
"NHS Horsham And Mid Sussex CCG","Local Anaesthesia","1502","Anaesthesia","15",5531,58478.07,"Local Anaesthesia
5,531"
"NHS Horsham And Mid Sussex CCG","Local Anaesthetics","1107","Eye","11",1,0.47,"Local Anaesthetics
1"
"NHS Horsham And Mid Sussex CCG","Local Prepn for Anal & Rectal Disorders","0107","Gastro-Intestinal System","01",4226,32256.72,"Local Prepn for Anal & Rectal Disorders
4,226"
"NHS Horsham And Mid Sussex CCG","Low Friction Products","2138","Appliances","21",213,2350.44,"Low Friction Products
213"
"NHS Horsham And Mid Sussex CCG","Lubricant Gels","2114","Appliances","21",1143,3948.04,"Lubricant Gels
1,143"
"NHS Horsham And Mid Sussex CCG","Lymphoedema Garments","2127","Appliances","21",437,26065.77,"Lymphoedema Garments
437"
"NHS Horsham And Mid Sussex CCG","Management of Skin Conditions","1301","Skin","13",41,236.47,"Management of Skin Conditions
41"
"NHS Horsham And Mid Sussex CCG","Metabolic Disorders","0908","Nutrition and Blood","09",65,47480.26,"Metabolic Disorders
65"
"NHS Horsham And Mid Sussex CCG","Micro-Enema - Sodium Citrate","2143","Appliances","21",12,47.47,"Micro-Enema - Sodium Citrate
12"
"NHS Horsham And Mid Sussex CCG","Minerals","0905","Nutrition and Blood","09",2017,63624.98,"Minerals
2,017"
"NHS Horsham And Mid Sussex CCG","Miscellaneous Ophthalmic Preparations","1108","Eye","11",13997,87746.27,"Miscellaneous Ophthalmic Preparations
13,997"
"NHS Horsham And Mid Sussex CCG","Miscellaneous Topical Preparations","1315","Skin","13",15,130.49,"Miscellaneous Topical Preparations
15"
"NHS Horsham And Mid Sussex CCG","Mucolytics","0307","Respiratory System","03",4775,60889.93,"Mucolytics
4,775"
"NHS Horsham And Mid Sussex CCG","Mydriatics And Cycloplegics","1105","Eye","11",333,21952.18,"Mydriatics And Cycloplegics
333"
"NHS Horsham And Mid Sussex CCG","Nasal Products","2124","Appliances","21",458,1508.66,"Nasal Products
458"
"NHS Horsham And Mid Sussex CCG","Night Drainage Bags","2260","Incontinence Appliances","22",4215,58723.21,"Night Drainage Bags
4,215"
"NHS Horsham And Mid Sussex CCG","Nitrates, Calcium-channel Blockers & Other Antianginal Drugs","0206","Cardiovascular System","02",136503,551844.87,"Nitrates, Calcium-channel Blockers & Other Antianginal Drugs
136,503"
"NHS Horsham And Mid Sussex CCG","Obesity","0405","Central Nervous System","04",421,9161.06,"Obesity
421"
"NHS Horsham And Mid Sussex CCG","Oral Film Forming Agents","2119","Appliances","21",89,4607.19,"Oral Film Forming Agents
89"
"NHS Horsham And Mid Sussex CCG","Oral Nutrition","0904","Nutrition and Blood","09",23726,1496457.08,"Oral Nutrition
23,726"
"NHS Horsham And Mid Sussex CCG","Other Appliances","2101","Appliances","21",29719,205655.67,"Other Appliances
29,719"
"NHS Horsham And Mid Sussex CCG","Other Endocrine Drugs","0607","Endocrine System","06",347,34967.9,"Other Endocrine Drugs
347"
"NHS Horsham And Mid Sussex CCG","Other Health Supplements","0912","Nutrition and Blood","09",23,198.98,"Other Health Supplements
23"
"NHS Horsham And Mid Sussex CCG","Other Preparations","1905","Other Drugs and Preparations","19",4,81.35,"Other Preparations
4"
"NHS Horsham And Mid Sussex CCG","Peak Flow Meters","2112","Appliances","21",1276,7384.97,"Peak Flow Meters
1,276"
"NHS Horsham And Mid Sussex CCG","Pelvic Toning Devices","2137","Appliances","21",3,41.79,"Pelvic Toning Devices
3"
"NHS Horsham And Mid Sussex CCG","Physical Debridement Device","2141","Appliances","21",59,4155.98,"Physical Debridement Device
59"
"NHS Horsham And Mid Sussex CCG","Plantar Pressure Offloading Device","2129","Appliances","21",62,1621.41,"Plantar Pressure Offloading Device
62"
"NHS Horsham And Mid Sussex CCG","Positive Inotropic Drugs","0201","Cardiovascular System","02",10029,19324.6,"Positive Inotropic Drugs
10,029"
"NHS Horsham And Mid Sussex CCG","Preparations For Eczema And Psoriasis","1305","Skin","13",4286,167991.41,"Preparations For Eczema And Psoriasis
4,286"
"NHS Horsham And Mid Sussex CCG","Preparations For Warts And Calluses","1307","Skin","13",535,5966.59,"Preparations For Warts And Calluses
535"
"NHS Horsham And Mid Sussex CCG","Pressure Plates/Shields","2375","Stoma Appliances","23",7,180.95,"Pressure Plates/Shields
7"
"NHS Horsham And Mid Sussex CCG","Selective Preparations","1902","Other Drugs and Preparations","19",1681,25244.15,"Selective Preparations
1,681"
"NHS Horsham And Mid Sussex CCG","Sex Hormones","0604","Endocrine System","06",31617,403770.26,"Sex Hormones
31,617"
"NHS Horsham And Mid Sussex CCG","Sex Hormones & Antag In Malig Disease","0803","Malignant Disease and Immunosuppression","08",12877,593053.4,"Sex Hormones & Antag In Malig Disease
12,877"
"NHS Horsham And Mid Sussex CCG","Shampoo & Other Preparations for Scalp & Hair Conditions","1309","Skin","13",3062,15040.84,"Shampoo & Other Preparations for Scalp & Hair Conditions
3,062"
"NHS Horsham And Mid Sussex CCG","Silk Garments","2020","Dressings","20",11,565.28,"Silk Garments
11"
"NHS Horsham And Mid Sussex CCG","Single Substances","1904","Other Drugs and Preparations","19",4,65.66,"Single Substances
4"
"NHS Horsham And Mid Sussex CCG","Skin Cleansers,Antiseptics & Desloughing","1311","Skin","13",609,5616.66,"Skin Cleansers,Antiseptics & Desloughing
609"
"NHS Horsham And Mid Sussex CCG","Skin Closure Strips, Sterile","2014","Dressings","20",169,272.13,"Skin Closure Strips, Sterile
169"
"NHS Horsham And Mid Sussex CCG","Skin Fillers And Protectives","2380","Stoma Appliances","23",14561,152864.83,"Skin Fillers And Protectives
14,561"
"NHS Horsham And Mid Sussex CCG","Skin Protectors","2385","Stoma Appliances","23",766,51876.01,"Skin Protectors
766"
"NHS Horsham And Mid Sussex CCG","Soft-Tissue Disorders & Topical Pain Rel","1003","Musculoskeletal and Joint Diseases","10",15392,81238.67,"Soft-Tissue Disorders & Topical Pain Rel
15,392"
"NHS Horsham And Mid Sussex CCG","Stockinette","2009","Dressings","20",810,7203.64,"Stockinette
810"
"NHS Horsham And Mid Sussex CCG","Stoma Caps/Dressings","2390","Stoma Appliances","23",23,2001.08,"Stoma Caps/Dressings
23"
"NHS Horsham And Mid Sussex CCG","Sunscreens And Camouflagers","1308","Skin","13",1819,58207.66,"Sunscreens And Camouflagers
1,819"
"NHS Horsham And Mid Sussex CCG","Surgical Adhesive Tape","2010","Dressings","20",561,2569.39,"Surgical Adhesive Tape
561"
"NHS Horsham And Mid Sussex CCG","Surgical Sutures","2011","Dressings","20",654,1899.01,"Surgical Sutures
654"
"NHS Horsham And Mid Sussex CCG","Suspensory Systems","2270","Incontinence Appliances","22",19,498.64,"Suspensory Systems
19"
"NHS Horsham And Mid Sussex CCG","Swabs","2012","Dressings","20",666,2521.9,"Swabs
666"
"NHS Horsham And Mid Sussex CCG","Sympathomimetics","0207","Cardiovascular System","02",577,35041.69,"Sympathomimetics
577"
"NHS Horsham And Mid Sussex CCG","Systemic Nasal Decongestants","0310","Respiratory System","03",25,64.92,"Systemic Nasal Decongestants
25"
"NHS Horsham And Mid Sussex CCG","Thyroid And Antithyroid Drugs","0602","Endocrine System","06",126785,448467.2,"Thyroid And Antithyroid Drugs
126,785"
"NHS Horsham And Mid Sussex CCG","Top Local Anaesthetics & Antipruritics","1303","Skin","13",808,8420.76,"Top Local Anaesthetics & Antipruritics
808"
"NHS Horsham And Mid Sussex CCG","Topical Circulatory Preparations","1314","Skin","13",395,1992.61,"Topical Circulatory Preparations
395"
"NHS Horsham And Mid Sussex CCG","Topical Corticosteroids","1304","Skin","13",40310,168884.05,"Topical Corticosteroids
40,310"
"NHS Horsham And Mid Sussex CCG","Tracheostomy & Laryngectomy Appliances","2005","Dressings","20",363,24527.25,"Tracheostomy & Laryngectomy Appliances
363"
"NHS Horsham And Mid Sussex CCG","Treatment Of Glaucoma","1106","Eye","11",38055,444132.82,"Treatment Of Glaucoma
38,055"
"NHS Horsham And Mid Sussex CCG","Treatment Of Vaginal & Vulval Conditions","0702","Obstetrics, Gynae and Urinary Tract Disorders","07",9521,133018.31,"Treatment Of Vaginal & Vulval Conditions
9,521"
"NHS Horsham And Mid Sussex CCG","Trusses","2106","Appliances","21",5,126.07,"Trusses
5"
"NHS Horsham And Mid Sussex CCG","Tubing & Accessories","2392","Stoma Appliances","23",19,1090.85,"Tubing & Accessories
19"
"NHS Horsham And Mid Sussex CCG","Tubing And Accessories","2280","Incontinence Appliances","22",1263,17507.22,"Tubing And Accessories
1,263"
"NHS Horsham And Mid Sussex CCG","Two Piece Ostomy Systems","2394","Stoma Appliances","23",1031,84250.74,"Two Piece Ostomy Systems
1,031"
"NHS Horsham And Mid Sussex CCG","Urinal Systems","2290","Incontinence Appliances","22",38,2766.92,"Urinal Systems
38"
"NHS Horsham And Mid Sussex CCG","Urostomy Bags","2396","Stoma Appliances","23",466,84696.32,"Urostomy Bags
466"
"NHS Horsham And Mid Sussex CCG","Vaccines And Antisera","1404","Immunological Products and Vaccines","14",55633,506613.18,"Vaccines And Antisera
55,633"
"NHS Horsham And Mid Sussex CCG","Vacuum Pumps for Erectile Dysfunction","2118","Appliances","21",63,6964.34,"Vacuum Pumps for Erectile Dysfunction
63"
"NHS Horsham And Mid Sussex CCG","Vaginal Dilators","2125","Appliances","21",14,315.81,"Vaginal Dilators
14"
"NHS Horsham And Mid Sussex CCG","Vaginal Moisturisers","2123","Appliances","21",291,2682.08,"Vaginal Moisturisers
291"
"NHS Horsham And Mid Sussex CCG","Vaginal PH Correction Products","2134","Appliances","21",13,87.83,"Vaginal PH Correction Products
13"
"NHS Horsham And Mid Sussex CCG","Venous Ulcer Compression System","2120","Appliances","21",372,9171.16,"Venous Ulcer Compression System
372"
"NHS Horsham And Mid Sussex CCG","Vitamins","0906","Nutrition and Blood","09",93623,566046.52,"Vitamins
93,623"
"NHS Horsham And Mid Sussex CCG","Waters","1914","Other Drugs and Preparations","19",9,28,"Waters
9"
"NHS Horsham And Mid Sussex CCG","Wound Management & Other Dressings","2003","Dressings","20",6141,192493.21,"Wound Management & Other Dressings
6,141"
"NHS Horsham And Mid Sussex CCG","Wound Management Products","1313","Skin","13",18,341.57,"Wound Management Products
18"
"NHS Horsham And Mid Sussex CCG","X-Ray Contrast Media","1803","Preparations used in Diagnosis","18",2,178.79,"X-Ray Contrast Media
2"
"West Sussex","Absorbent Cottons","2001","Dressings","20",28,168.07,"Absorbent Cottons
28"
"West Sussex","Acids","1906","Other Drugs and Preparations","19",105,946.75,"Acids
105"
"West Sussex","Acne and Rosacea","1306","Skin","13",23761,340037.8,"Acne and Rosacea
23,761"
"West Sussex","Acute Diarrhoea","0104","Gastro-Intestinal System","01",26536,88859.92,"Acute Diarrhoea
26,536"
"West Sussex","Adhesive (Pastes/Sprays/Solutions)","2310","Stoma Appliances","23",18,577.67,"Adhesive (Pastes/Sprays/Solutions)
18"
"West Sussex","Adhesive Discs/Rings/Pads/Plasters","2305","Stoma Appliances","23",3840,149850.64,"Adhesive Discs/Rings/Pads/Plasters
3,840"
"West Sussex","Adhesive Dressing Remover Ster Silicone","2136","Appliances","21",152,3884.17,"Adhesive Dressing Remover Ster Silicone
152"
"West Sussex","Adhesive Removers (Sprays/Liquids/Wipes)","2315","Stoma Appliances","23",14697,317944.65,"Adhesive Removers (Sprays/Liquids/Wipes)
14,697"
"West Sussex","Anaemias + Other Blood Disorders","0901","Nutrition and Blood","09",266816,529070.47,"Anaemias + Other Blood Disorders
266,816"
"West Sussex","Anal Irrigation System","2128","Appliances","21",1739,289459.8,"Anal Irrigation System
1,739"
"West Sussex","Anal Plugs","2202","Incontinence Appliances","22",107,6965.59,"Anal Plugs
107"
"West Sussex","Analgesics","0407","Central Nervous System","04",799242,6582646.77,"Analgesics
799,242"
"West Sussex","Anthelmintics","0505","Infections","05",1699,3239.28,"Anthelmintics
1,699"
"West Sussex","Anti-Arrhythmic Drugs","0203","Cardiovascular System","02",17208,177055.92,"Anti-Arrhythmic Drugs
17,208"
"West Sussex","Anti-Infective Eye Preparations","1103","Eye","11",23955,127000.29,"Anti-Infective Eye Preparations
23,955"
"West Sussex","Anti-Infective Skin Preparations","1310","Skin","13",53735,204207.33,"Anti-Infective Skin Preparations
53,735"
"West Sussex","Antibacterial Drugs","0501","Infections","05",468560,1914560.62,"Antibacterial Drugs
468,560"
"West Sussex","Anticoagulants And Protamine","0208","Cardiovascular System","02",326268,9237783.78,"Anticoagulants And Protamine
326,268"
"West Sussex","Antidepressant Drugs","0403","Central Nervous System","04",969925,3068240.65,"Antidepressant Drugs
969,925"
"West Sussex","Antiepileptic Drugs","0408","Central Nervous System","04",362804,4876447.8,"Antiepileptic Drugs
362,804"
"West Sussex","Antifibrinolytic Drugs & Haemostatics","0211","Cardiovascular System","02",5364,66443.71,"Antifibrinolytic Drugs & Haemostatics
5,364"
"West Sussex","Antifungal Drugs","0502","Infections","05",22878,141183.08,"Antifungal Drugs
22,878"
"West Sussex","Antihistamines, Hyposensitisations & Allergic Emergencies","0304","Respiratory System","03",185835,848394.84,"Antihistamines, Hyposensitisations & Allergic Emergencies
185,835"
"West Sussex","Antiperspirants","1312","Skin","13",593,3058.99,"Antiperspirants
593"
"West Sussex","Antiplatelet Drugs","0209","Cardiovascular System","02",467002,882236.54,"Antiplatelet Drugs
467,002"
"West Sussex","Antiprotozoal Drugs","0504","Infections","05",48094,101335.88,"Antiprotozoal Drugs
48,094"
"West Sussex","Antisecretory Drugs & Mucosal Protectants","0103","Gastro-Intestinal System","01",956946,1660113.18,"Antisecretory Drugs & Mucosal Protectants
956,946"
"West Sussex","Antispasmodics & Other drugs altering Gut Motility","0102","Gastro-Intestinal System","01",53035,849316.16,"Antispasmodics & Other drugs altering Gut Motility
53,035"
"West Sussex","Antiviral Drugs","0503","Infections","05",18917,141121.04,"Antiviral Drugs
18,917"
"West Sussex","Arm Sling/Bandages","2002","Dressings","20",16652,371344.11,"Arm Sling/Bandages
16,652"
"West Sussex","Aromatic Inhalations","0308","Respiratory System","03",22,46.71,"Aromatic Inhalations
22"
"West Sussex","Bacterial Decolonisation Products","2140","Appliances","21",10,39.35,"Bacterial Decolonisation Products
10"
"West Sussex","Bag Closures","2320","Stoma Appliances","23",51,486.84,"Bag Closures
51"
"West Sussex","Bag Covers","2325","Stoma Appliances","23",130,4196.9,"Bag Covers
130"
"West Sussex","Base/Dil/Susp Agents/Stabilisers","1907","Other Drugs and Preparations","19",9121,292536.55,"Base/Dil/Susp Agents/Stabilisers
9,121"
"West Sussex","Belts","2330","Stoma Appliances","23",1276,52195.9,"Belts
1,276"
"West Sussex","Beta-Adrenoceptor Blocking Drugs","0204","Cardiovascular System","02",565337,949901.47,"Beta-Adrenoceptor Blocking Drugs
565,337"
"West Sussex","Bronchodilators","0301","Respiratory System","03",392503,4317576.66,"Bronchodilators
392,503"
"West Sussex","Catheter Maintenance Products","2113","Appliances","21",2218,70253.04,"Catheter Maintenance Products
2,218"
"West Sussex","Catheter Valves","2205","Incontinence Appliances","22",2391,46596.58,"Catheter Valves
2,391"
"West Sussex","Catheters","2102","Appliances","21",20073,2243948.8,"Catheters
20,073"
"West Sussex","Cellulose Wadding BP 1988","2018","Dressings","20",3,14.33,"Cellulose Wadding BP 1988
3"
"West Sussex","Cervical Collar","2017","Dressings","20",1,2.43,"Cervical Collar
1"
"West Sussex","Chiropody Appliances","2103","Appliances","21",46,284.37,"Chiropody Appliances
46"
"West Sussex","Chronic Bowel Disorders","0105","Gastro-Intestinal System","01",39153,1937141.67,"Chronic Bowel Disorders
39,153"
"West Sussex","CNS Stimulants and drugs used for ADHD","0404","Central Nervous System","04",20849,807584.11,"CNS Stimulants and drugs used for ADHD
20,849"
"West Sussex","Colostomy Bags","2335","Stoma Appliances","23",7469,1497937.59,"Colostomy Bags
7,469"
"West Sussex","Compound Vitamins/Mineral Formulations","0910","Nutrition and Blood","09",4777,25753.48,"Compound Vitamins/Mineral Formulations
4,777"
"West Sussex","Contraceptive Devices","2104","Appliances","21",685,7129.18,"Contraceptive Devices
685"
"West Sussex","Contraceptives","0703","Obstetrics, Gynae and Urinary Tract Disorders","07",129197,1346289.66,"Contraceptives
129,197"
"West Sussex","Cordials/Soft Drinks","1913","Other Drugs and Preparations","19",43,1500.26,"Cordials/Soft Drinks
43"
"West Sussex","Corticosteroids (Endocrine)","0603","Endocrine System","06",144802,994519.48,"Corticosteroids (Endocrine)
144,802"
"West Sussex","Corticosteroids (Respiratory)","0302","Respiratory System","03",283474,9144224.15,"Corticosteroids (Respiratory)
283,474"
"West Sussex","Corticosteroids & Other Anti-Inflammatory Preparations.","1104","Eye","11",31130,247586.27,"Corticosteroids & Other Anti-Inflammatory Preparations.
31,130"
"West Sussex","Cough Preparations","0309","Respiratory System","03",3304,15282.76,"Cough Preparations
3,304"
"West Sussex","Cromoglycate and Related Therapy and Leukotriene Receptor Antagonists","0303","Respiratory System","03",35829,80138.18,"Cromoglycate and Related Therapy and Leukotriene Receptor Antagonists
35,829"
"West Sussex","Cycloidal Vibration Accessories","2131","Appliances","21",1,278.08,"Cycloidal Vibration Accessories
1"
"West Sussex","Cytotoxic Drugs","0801","Malignant Disease and Immunosuppression","08",1554,84247.48,"Cytotoxic Drugs
1,554"
"West Sussex","Dementia","0411","Central Nervous System","04",79563,566908.62,"Dementia
79,563"
"West Sussex","Deodorants","2345","Stoma Appliances","23",1898,22462.03,"Deodorants
1,898"
"West Sussex","Detection Sensor Interstitial Fluid/Gluc","2148","Appliances","21",2246,149853.89,"Detection Sensor Interstitial Fluid/Gluc
2,246"
"West Sussex","Dev For Fungal Nail Infections","2147","Appliances","21",14,261,"Dev For Fungal Nail Infections
14"
"West Sussex","Discharge Solidifying Agents","2346","Stoma Appliances","23",643,37251.59,"Discharge Solidifying Agents
643"
"West Sussex","Diuretics","0202","Cardiovascular System","02",464454,796295.43,"Diuretics
464,454"
"West Sussex","Drugs Acting On The Ear","1201","Ear, Nose and Oropharynx","12",28651,132192.14,"Drugs Acting On The Ear
28,651"
"West Sussex","Drugs Acting On The Nose","1202","Ear, Nose and Oropharynx","12",119802,705269.57,"Drugs Acting On The Nose
119,802"
"West Sussex","Drugs Acting On The Oropharynx","1203","Ear, Nose and Oropharynx","12",11159,74337.34,"Drugs Acting On The Oropharynx
11,159"
"West Sussex","Drugs Affecting Bone Metabolism","0606","Endocrine System","06",113092,681410.51,"Drugs Affecting Bone Metabolism
113,092"
"West Sussex","Drugs Affecting Intestinal Secretions","0109","Gastro-Intestinal System","01",12586,718355.14,"Drugs Affecting Intestinal Secretions
12,586"
"West Sussex","Drugs Affecting The Immune Response","0802","Malignant Disease and Immunosuppression","08",17410,384509.66,"Drugs Affecting The Immune Response
17,410"
"West Sussex","Drugs For Genito-Urinary Disorders","0704","Obstetrics, Gynae and Urinary Tract Disorders","07",302361,3946036.67,"Drugs For Genito-Urinary Disorders
302,361"
"West Sussex","Drugs Used In Diabetes","0601","Endocrine System","06",698400,15891231.44,"Drugs Used In Diabetes
698,400"
"West Sussex","Drugs Used In Nausea And Vertigo","0406","Central Nervous System","04",85911,679191.4,"Drugs Used In Nausea And Vertigo
85,911"
"West Sussex","Drugs Used In Neuromuscular Disorders","1002","Musculoskeletal and Joint Diseases","10",18593,134260.41,"Drugs Used In Neuromuscular Disorders
18,593"
"West Sussex","Drugs Used In Parkinsonism & Related Disorders","0409","Central Nervous System","04",73604,1701159.99,"Drugs Used In Parkinsonism & Related Disorders
73,604"
"West Sussex","Drugs Used In Psychoses & Related Disorders","0402","Central Nervous System","04",150987,2059144.81,"Drugs Used In Psychoses & Related Disorders
150,987"
"West Sussex","Drugs Used In Rheumatic Diseases & Gout","1001","Musculoskeletal and Joint Diseases","10",314534,1426357.47,"Drugs Used In Rheumatic Diseases & Gout
314,534"
"West Sussex","Drugs Used In Substance Dependence","0410","Central Nervous System","04",19070,536734.34,"Drugs Used In Substance Dependence
19,070"
"West Sussex","Dry Mouth Products","2121","Appliances","21",5839,47409.39,"Dry Mouth Products
5,839"
"West Sussex","Dyspepsia & Gastro-Oesophageal Reflux Disease","0101","Gastro-Intestinal System","01",56469,382420.87,"Dyspepsia & Gastro-Oesophageal Reflux Disease
56,469"
"West Sussex","Elastic Hosiery","2107","Appliances","21",10751,186732.47,"Elastic Hosiery
10,751"
"West Sussex","Emollient & Barrier Preparations","1302","Skin","13",158382,1024319,"Emollient & Barrier Preparations
158,382"
"West Sussex","Emollients","2122","Appliances","21",114345,544415.24,"Emollients
114,345"
"West Sussex","Eye Products","2130","Appliances","21",58713,472788.41,"Eye Products
58,713"
"West Sussex","Faecal Collectors","2215","Incontinence Appliances","22",16,488.09,"Faecal Collectors
16"
"West Sussex","Filters/Bridges","2350","Stoma Appliances","23",83,4661.37,"Filters/Bridges
83"
"West Sussex","Fluids And Electrolytes","0902","Nutrition and Blood","09",12886,131578.32,"Fluids And Electrolytes
12,886"
"West Sussex","Foods","0909","Nutrition and Blood","09",1955,105863.06,"Foods
1,955"
